Review,Cleaned_Review,Label
Đóng gói cẩn thận và chất lượng sản phẩm tốt,đóng_gói cẩn_thận chất_lượng_lượng tốt,1
"Hàng rất tốt, mình đánh giá 4 sao vì giao hàng sai màu",rất tốt đánh_giá sao vì giao sai màu,1
"Phá đảo trong phân khúc chưa đến 30k một đôi. Thật sự khá bất ngờ về chất lượng. Không hề thua kém tất của On Off là mấy luôn. Mà rẻ hơn 20-30%. Tất On Off mình đi một thời gian cũng bị dão, loại này chưa biết có bị không nhưng trước mắt chun có vẻ chặt hơn. Độ thoáng và mỏng tương đồng. Đáng đồng tiền bát gạo!",phá đảo trong phân_khúc chưa_đến không_một đôi thật_sự khá bất_ngờ về chất_lượng_lượng không_hề thua_kém tất on_of mấy rẻ hơn tất_on of một thời_gian cũng dão loại chưa_biết không_nhưng trước_mắt chun có_vẻ chặt hơn độ thoáng mỏng tương_đồng đáng đồng_tiền bát gạo,1
Vừa mới nhận .. chưa dùng nhưng cảm quan nhìn thì tất có vẻ OK. Đóng gói OK. Ship hàng nhanh.. Thanks Tiki...,vừa_mới nhận chưa_dùng cảm_quan nhìn tất có_vẻ tốt đóng_gói tốt ship nhanh thanks tiki,1
Chất liệu và kiểu dáng đẹp như q cáo.hài lòng!,chất_lượng_liệu kiểu_dáng đẹp như q_cáo hài_lòng,1
Chất liệu và kiểu dáng đẹp như qcáo.hài lòng!,chất_lượng_liệu kiểu_dáng đẹp như qcáo hài_lòng,1
"Sản phẩm thì khỏi phải nói,tiki giao hàng thì quá OK!",khỏi_phải_nói tiki giao_sản_phẩm quá tốt,1
Tốt hợp với giá thành giao hàng nhanh,tốt hợp giá_thành giao nhanh,1
"Vớ dày đẹp, hàng chất lượng, đúng như mô tả, giao đúng nhanh đóng gói cẩn thận, shop uy tín.",vớ dày đẹp chất_lượng_lượng đúng như mô_tả giao đúng nhanh đóng_gói cẩn_thận uy_tín,1
Kiểu dáng khá Ok. Mặc bó sát vào chân nên khá thoải mái. Vải khá dày.,kiểu_dáng khá tốt mặc bó sát vào chân nên khá thoải_mái vải khá dày,1
Tất dầy giao hàng nhanh đúng như hình ảnh,tất_dầy giao nhanh đúng như hình_ảnh,1
Giao hàng nhanh. Đóng gói cẩn thân,giao nhanh đóng_gói cẩn_thân,1
"Sản phẩm tốt, quá rẻ so với chất lượng",tốt quá rẻ so chất_lượng lượng,1
Sản phẩm rất ok. Giao hàng quá nhanh. rất hài lòng!,rất tốt giao quá nhanh rất hài_lòng,1
Very good,very god,1
"Vớ có đường may đẹp, vải thoáng khí mang không bị mồ hôi chân. Giá tốt so với chất lượng.",vớ đường may đẹp vải thoáng_khí mang không_bị mồ_hôi chân_giá tốt so chất_lượng lượng,1
Tất dùng được nhưng bao bì đóng gói nhiều rác thải không tốt cho môi trường,tất dùng bao_bì đóng_gói nhiều rác_thải không_tốt môi_trường,1
"Mình dùng đồ thương hiệu M&M 5 năm rồi, chất lượng sản phẩm luôn tốt nhé. Vote 5 sao",dùng đồ thương_hiệu m m năm chất_lượng_lượng tốt vote sao,1
Chất vải tốt. Đã mua nhiều lần. Sẽ ủng hộ tiếp,chất_lượng vải tốt đã mua nhiều sẽ ủng_hộ tiếp,1
Quá tốt luôn . Mua về vượt sự mong đợi của chính mình,quá tốt mua về vượt sự mong_đợi chính,1
Rất tốt,rất tốt,1
Ổn hàng đã dùng nhiều,ổn đã dùng nhiều,1
Chất vải mỏng thoáng phù hợp đi mùa hè,chất_lượng vải mỏng_thoáng phù_hợp mùa hè,1
"Vớ đẹp, dày dặn mang rất ôm chân, sẽ ủng hộ shop lần sau khi cần mua thêm",vớ đẹp dày_dặn mang rất ôm chân sẽ ủng_hộ sau khi cần mua thêm,1
"Lần đầu mua tất của hãng, rất mừng là đáp ứng được kì vọng của mình. Mình là người tương đối kĩ tính trong lựa chọn quần áo, phụ kiện. Tất các bạn đi chắc chân, cổ tất có chun co dãn tốt, độ dày vừa phải. Sẽ ủng hộ các bạn khi mình cần. Thanks!",đầu mua tất hãng rất mừng đáp_ứng kì_vọng người tương_đối kĩ_tính trong lựa_chọn quần_áo phụ kiện tất bạn chắc chân cổ_tất chun co_dãn tốt_độ dày vừa_phải sẽ ủng_hộ bạn khi cần thanks,1
"Mang khá êm chân, hàng tốt",mang khá êm_chân tốt,1
"Chất liệu tốt, dày. Đóng gói cẩn thận. Giao hàng nhanh.",chất_lượng_liệu tốt_dày đóng_gói cẩn_thận giao nhanh,1
"Giao hàng nhanh, hàng vẫn tốt như cũ",giao nhanh vẫn tốt như cũ,1
chất lượng tốt,chất_lượng lượng tốt,1
"Tất mặt thoáng mát, thoải mái",tất_mặt thoáng_mát thoải_mái,1
"Giá cả phải chăng, chất lượng sản phẩm hàng Việt Nam chất lượng cao, giao hàng nhanh chóng.",giá_cả phải_chăng chất_lượng_lượng việt_nam chất_lượng_lượng cao giao_sản_phẩm nhanh_chóng,1
Chất lượng ok,chất_lượng lượng tốt,1
Thoáng mát,thoáng mát,1
Mát. Thấm hút tốt,mát thấm hút tốt,1
"Vải êm, đi thấy ok. Còn có lưu mùi hôi thì chắc xài lâu mới biết",vải êm thấy tốt còn lưu_mùi hôi chắc xài lâu mới biết,1
"mang mát, thoải mái, màu sắcđ đẹp",mang mát thoải_mái màu sắcđ đẹp,1
"rất tuyệt với ,tất rất đẹp và dày dặn,đúng như hình, giao hàng nhanh,mọi thứ rất ổn. sẽ úng hộ shop",rất tuyệt tất rất đẹp dày_dặn đúng như hình giao nhanh mọi thứ rất ổn sẽ úng hộ,1
35k/ đôi mà chất lượng thực sự quá lởm. Cảm giác như đi đôi 15k thôi. 1 lần thôi sẽ ko quay lại shop này.,không_đôi chất_lượng_lượng thực_sự quá lởm cảm_giác như đôi không_thôi thôi sẽ không_quay lại,0
giao hàng đúng hẹn,giao đúng hẹn,1
"Tốt, đúng màu, đẹp",tốt đúng màu đẹp,1
chưa đi nên chưa rõ chất lượng. shop giao hàng cẩn thận. thấy mọi người comment tốt lại là hàng Việt nên mình mua.,chưa_đi nên chưa_rõ chất_lượng_lượng giao cẩn_thận thấy mọi người coment tốt lại sản_phẩm_việt nên mua,1
"Sản phẩm tốt, chất đẹp không bai xù. Được tặng kèm 1 đôi do mua sản phẩm khác nhưng vì chất tốt quá nên đã mua thêm để dùng.",tốt chất_lượng đẹp không_bai xù tặng kèm đôi do mua khác vì chất_lượng tốt quá nên đã mua thêm dùng,1
Hàng dùng ok,dùng tốt,1
"vớ rất đẹp, xài mấy hôm thấy rất ổn, tất ôm chân, đẹp, co giãn thoải mái, được cái thoáng nên không bị hôi chân như nhiều loại mình từng đi, hàng chất lượng. Để ý thì thấy hàng của việt nam, thương hiệu viêt nam, ủng hộ, sẽ còn mua thêm lần tới.",vớ rất đẹp xài mấy hôm thấy rất ổn tất_ôm chân đẹp co_giãn thoải_mái cái thoáng nên không_bị hôi_chân như nhiều loại từng chất_lượng_lượng để_ý thấy việt_nam thương_hiệu viêt_nam ủng_hộ sẽ còn mua thêm tới,1
"rất ưng ý, mới xài 2 đôi thôi, nhưng đặt thêm 5 đôi loại mang cho giày lười nữa, vì đáng tiền!",rất ưng_ý mới xài đôi thôi đặt thêm đôi loại mang giày lười nữa vì đáng tiền,1
"Zize tất có như Zize giày không, mang vào thấy chật",zize tất như zize giày không_mang vào thấy chật,1
"sản phẩm  chất rất đẹp,đáng mua",chất_lượng rất đẹp đáng mua,1
Tất rất nóng và bí. Chắc chắn mình sẽ k mua lại sản phẩm này,tất rất nóng bí chắc_chắn sẽ không_mua lại,0
Tiki hỗ trợ giao hàng nhanh rất tuyệt vời.,tiki hỗ_trợ giao nhanh rất tuyệt_vời,1
Mỏng manh nói chung ko ra gì,mỏng_manh nói_chung không_ra gì,0
Đi biết bao đôi tất giờ mới đc đi tất hịn. mình là chúa ra mồ hôi chân. Dùng cái này cũng cải thiện đc 80%. Ko bị hôi chân haha,biết_bao đôi tất_giờ mới tất_hịn chúa ra mồ_hôi chân dùng cái cũng cải_thiện không_bị hôi chân haha,1
"chất liệu vớ tốt, thấm hút mồ hôi, giặt máy và sấy nhưng không bị co rút",chất_lượng_liệu vớ tốt thấm hút mồ_hôi giặt_máy sấy không_bị co rút,1
giao hàng nhanh....hàng đc so tầm giá....,giao nhanh so tầm giá,1
"Chất liệu vải tốt,kiểu dáng đẹp",chất_lượng_liệu vải tốt kiểu_dáng đẹp,1
Giao hang nhanh,giao hang nhanh,1
"Sản phẩm chất lượng khá tốt, phù hợp với giá tiền.",chất_lượng_lượng khá tốt phù_hợp giá tiền,1
giao hàng nhanh. sp ok. ko quá dầy.,giao nhanh tốt không_quá dầy,1
"Chất lượng tốt trong tầm giá, đi một thời gian mới biết được. 4* vì combo 5 đôi cùng màu",chất_lượng lượng tốt trong tầm giá một thời_gian mới biết vì combo đôi cùng màu,1
"Dùng tốt, hơn 10 ngày nhưng vẫn ko có dấu hiệu bị giãn.",dùng tốt hơn ngày vẫn không_có dấu_hiệu giãn,1
Giao hàng nhanh,giao nhanh,1
Chất liệu k tốt như mong đợi,chất_lượng_liệu không_tốt như mong_đợi,1
"Tất có chun co giãn ôm chân, đi không bị tụt tất, tất đi êm, tất dày vừa phải nên không bị bí bách khi đi cả ngày. Tiền nào của nấy, mua hàng cảm thấy được tôn trọng!",tất chun co_giãn ôm chân không_bị tụt tất_tất êm tất_dày vừa_phải nên không_bị bí_bách khi cả ngày tiền nào nấy mua cảm_thấy tôn_trọng,1
Vớ đẹp,vớ đẹp,1
"Hài rất đẹp và dày,đúng như hình mô tả,sẽ ủng hộ shop",hài rất đẹp dày đúng như hình mô_tả sẽ ủng_hộ,1
"Tất rẻ mà sử dụng khá ổn, ôm chân nhưng vẫn thoải mái.",tất_rẻ sử_dụng khá ổn ôm chân vẫn thoải_mái,1
"Tất mềm, dễ đi, mình mua tận 5 lố cho cả nhà dùng",tất_mềm dễ mua tận lố cả nhà dùng,1
Sp rất đep và tốt,rất đep tốt,1
"vớ ôm chân, chắc chắn, rất tốt",vớ ôm chân chắc_chắn rất tốt,1
"Chất liệu tốt, dày",chất_lượng_liệu tốt dày,1
Hàng ok lắm ạ. thanks chop,tốt lắm thanks chop,1
"Nhận hàng mình khá hài lòng chất lượng, tất cotton vải mềm đi thoải mái dễ chịu. Được cái tất khử mùi tốt, đi cả ngày vẫn không có mùi. tính ra có 25k/ đôi cũng không đắt không rẻ, quan trọng chất lượng tốt là được.",nhận khá hài_lòng chất_lượng_lượng tất_coton vải mềm thoải_mái dễ_chịu cái tất_khử mùi tốt cả ngày vẫn không_có mùi tính ra không_đôi cũng không_đắt_không_rẻ quan_trọng chất_lượng_lượng tốt,1
Tất cũng ok,tất cũng tốt,1
"Vớ đẹp, gói hàng cẩn thận nhưng giao hơi lâu",vớ đẹp gói cẩn_thận giao_hơi lâu,1
"Đã nhận hàng và mới dùng 1 lần, cảm giác thoải mái, vải ko dày cũng ko quá mỏng, đi và chạy gần 1 tiếng vẫn ko thấy khó chịu hay nóng.",đã nhận mới dùng cảm_giác thoải_mái vải không_dày cũng không_quá mỏng chạy gần tiếng vẫn không_thấy khó_chịu hay nóng,1
chất lượng  Chiêu mộ anh hùng - Trúng quà Samsung ?Chiêu mộ anh hùng - Trúng quà Samsung!    ?Mở ứng dụng tham gia Săn thưởng - sở hữu  Galaxy Note 20 Ultra và Coupon 50K!,chất_lượng lượng chiêu_mộ anh_hùng trúng quà samsung chiêu_mộ anh_hùng trúng quà samsung mở ứng_dụng tham_gia săn thưởng sở_hữu galaxy note ultra coupon không,1
"Sp đẹp, giá tốt, giao hàng siêu tốc.",đẹp giá tốt giao siêu_tốc,1
Sản phẩm tốt ok cảm ơn Shop nhiều,tốt tốt cảm_ơn nhiều,1
"Giao hàng nhanh, chất vải ok, hy vọng mang ko bị mùi và hành chân",giao nhanh chất_lượng vải tốt hy_vọng mang không_bị mùi hành_chân,1
"sản phẩm tốt, giao hàng nhanh",tốt giao nhanh,1
"Tất okie lắm nha, giao hàng nhanh, đáng tiền",tất_okie lắm giao nhanh đáng tiền,1
Ổn với giá thành,ổn giá_thành,1
"Chất dày dặn, đi êm chân. Rất đáng tiền nhé",chất_lượng dày_dặn êm_chân rất đáng tiền,1
cảm giác thoải mái,cảm_giác thoải_mái,1
Dùng tốt,dùng tốt,1
mua  2 lần do chất lượng tốt,mua do chất_lượng_lượng tốt,1
"đã nhận được sản phẩm, tiki giao hàng đúng hẹn và hài lòng với phong cách phục vụ của nhân viên, sản phẩm đúng như ảnh và đem lại trải nghiệm khá tốt khi mang, sẽ ủng hộ trong thời gian tới.",đã nhận tiki giao_sản_phẩm đúng hẹn hài_lòng phong_cách phục_vụ nhân_viên đúng như ảnh đem lại trải_nghiệm khá tốt khi mang sẽ ủng_hộ trong thời_gian tới,1
tốt. giao hàng quá nhanh,tốt giao quá nhanh,1
"Hàng tốt không bị xù lông, chất liệu tôtts",tốt không_bị xù lông chất_lượng_liệu tôts,1
San pham tot,san pham tot,1
"Tất tốt, mang thoải mái",tất tốt mang thoải_mái,1
Vừa ý,vừa ý,1
"Hàng đẹp, đeo thoải mái.",đẹp đeo thoải_mái,1
"Sản phẩm uy tín, chất lượng, đã sử dụng 5 đôi",uy_tín chất_lượng_lượng đã sử_dụng đôi,1
Hàng nhận đẹp ok.nhưng chưa xài nên không biết có chống được hôi chân không ? Tiki trước đây miễn phí ship nếu mua từ 200k.giờ tính phí ship mắc quá,nhận đẹp tốt chưa_xài nên không_biết chống hôi chân_không_tiki trước_đây miễn_phí ship nếu mua không_giờ tính phí ship mắc quá,1
Đi khá thoải mái. Đi lâu mới đánh giá chính xác đc độ bền,khá thoải_mái lâu mới đánh_giá chính_xác độ bền,1
dùng tốt trong tầm giá,dùng tốt trong tầm giá,1
Bình thường ạhkldkdldhljsg,bình_thường ạhkldkdldhljsg,0
Sp tốt so với tầm tiền,tốt so tầm tiền,1
tất hơi mỏng,tất_hơi mỏng,1
"Mẫu đẹp, chất tốt. ủng hộ.",mẫu đẹp chất_lượng tốt ủng_hộ,1
giao hàng nhanh....hàng đc so tầm giá... ủng hộ shop..,giao nhanh so tầm giá ủng_hộ,1
Tất mang vừa chân Nhưng nhanh rách,tất mang vừa chân nhanh rách,0
"Tất đẹp, thoáng, không dày quá, không mỏng quá, rất vừa vặn. phù hợp với văn phòng đi cả ngày. mình rất hài lòng.",tất đẹp thoáng không_dày quá không_mỏng quá rất vừa_vặn phù_hợp văn_phòng cả ngày rất hài_lòng,1
"chất vải dày dặn, mình mua 15 đôi xài dần rồi.",chất_lượng vải dày dặn mua đôi xài dần,1
"Vớ mang thoải mái, êm",vớ mang thoải_mái êm,1
rất hài lòng với giá tiền,rất hài_lòng giá tiền,1
chất lượng ok như hình,chất_lượng lượng tốt như hình,1
"Giao nhanh, vớ xài rất tốt",giao nhanh vớ xài rất tốt,1
Giá cả hợp lý. đóng gói cẩn thận.,giá_cả hợp_lý đóng_gói cẩn_thận,1
"Vớ chất, dày dặn",vớ chất_lượng dày dặn,1
"Logo bao bì đẹp, tất thiết kế logo đơn giản nhưng dễ phối đồ. tất đi khá êm chân, thông thoáng tốt, đi cả ngày ko bị mùi. Giá cả khá rẻ so với chất lượng!",logo bao_bì đẹp tất_thiết_kế logo đơn_giản dễ_phối đồ tất_đi khá êm_chân thông_thoáng tốt cả ngày không_bị mùi giá_cả khá rẻ so chất_lượng lượng,1
ok ổn áp,tốt ổn áp,1
Giao hàng nhanh đúng giờ,giao nhanh đúng giờ,1
Tất đúng như mô tả. Chưa mang nên không biết chất lượng ra sao,tất đúng như mô_tả chưa_mang nên không_biết chất_lượng_lượng ra sao,1
mua hàng đơn giản. giao hàng nhanh chóng,mua đơn_giản giao nhanh_chóng,1
"Sản phẩm tốt, bảo hành tốt",tốt bảo_hành tốt,1
Tất đi rất êm chân thoáng,tất rất êm_chân thoáng,1
Tất dùng rất tốt khử mùi tốt,tất dùng rất tốt khử mùi tốt,1
Thoáng chân êm ái dày dặn,thoáng chân êm_ái dày dặn,1
"Giá tốt, giao hàng nhanh, giặt 1 lần thấy bị vón cục",giá tốt giao nhanh giặt thấy vón cục,1
hơi đắt so với giá 35k/ đôi,hơi đắt so giá không_đôi,1
hàil lòng tiền nào của đấy,hàil lòng tiền nào đấy,1
"Sp tốt,đáng mua ạ",tốt đáng mua,1
hàng ok. Giao hàng nhanh.,tốt giao nhanh,1
"Ok, ủng hộ hàng made in vietnam",tốt ủng_hộ made in vietnam,1
Hàng dùng ổn,dùng ổn,1
Tại sao xếp 5 đôi cùng 1 mầu?,tại_sao xếp đôi cùng mầu,0
sản phẩm ok lắm nha shop 1like,tốt lắm like,1
"cực kì hài lòng, mẫu mã logo đẹp, tất đi ôm gọn chân, vải co giãn, thoáng khí nên đi không bị bí, hay hôi chân. shop uy tín và có tâm, sẽ chọn mua thêm 1 vài sản phẩm khác...",cực_kì hài_lòng mẫu_mã logo đẹp tất ôm gọn chân vải co_giãn thoáng_khí nên không_bị_bí hay hôi_chân uy_tín tâm sẽ chọn mua thêm vài khác,1
chất lượng tố,chất_lượng lượng tố,1
"so ok, ko qua day cung ko qua mong.",so tốt không_qua day cung_không_qua mong,1
sản phẩm nên mua,nên mua,1
"hài lòng về chất lượng sản phẩm tốt như mong đợi, thêm thái độ giao hàng nhanh thân thiện, mình rất thích mua trên tiki vì chất lượng luôn được đảm bảo. Sẽ còn ủng hộ thêm",hài_lòng về chất_lượng_lượng tốt như mong_đợi thêm thái_độ giao nhanh thân_thiện rất thích mua trên tiki vì chất_lượng_lượng đảm_bảo sẽ còn ủng_hộ thêm,1
Nhanh gọn. Chất luọng,nhanh gọn chất_lượng luọng,1
Tất chất lượng bình thường,tất chất_lượng_lượng bình_thường,1
"tốt, mua được.",tốt mua,1
Hài lòng. Tốt,hài_lòng tốt,1
"Hàng giao nhanh, đóng gói cẩn thận, sản phẩm đẹp giống trong hình",giao nhanh đóng_gói cẩn_thận đẹp giống trong hình,1
Chất lượng  ổn,chất_lượng lượng ổn,1
Giao hàng nhanh hôm trước hôm sau được luôn,giao nhanh hôm trước hôm sau,1
"tất chuẩn chính hãng MRM, giá không rẻ nhưng chất lượng rất tốt, đáng tiền, tất đi ôm chân, rất ấm, có lỗ thoáng khí đi không bí, ko bị mùi hôi chân. ủng hộ shop 5 *",tất_chuẩn chính hãng mrm giá không_rẻ chất_lượng_lượng rất tốt đáng tiền tất ôm chân rất ấm lỗ thoáng_khí không_bí không_bị mùi hôi_chân ủng_hộ,1
giá tốt,giá tốt,1
chất đẹp,chất_lượng đẹp,1
"vớ đẹp, đi rất thoải mái chân, chất lượng rất ổn, còn tiki giao hàng cũng đúng hẹn, nói chung mình rất hài lòng, đi thêm vài bữa để cảm nhận sản phẩm.",vớ đẹp rất thoải_mái chân chất_lượng_lượng rất ổn còn tiki giao cũng đúng hẹn nói_chung rất hài_lòng thêm vài bữa cảm_nhận,1
Mang êm,mang êm,1
"vải sờ chất mềm mại, đi ôm chân, rất thoải mái, vớ không bí, không hôi như nhiều loại sản phẩm rẻ tiền mình từng mua. giao hàng nhanh, rất hài lòng.",vải sờ_chất_lượng mềm_mại ôm chân rất thoải_mái vớ không_bí không_hôi như nhiều loại rẻ_tiền từng mua giao nhanh rất hài_lòng,1
"sản phẩm tốt, giao hàng nhanh.",tốt giao nhanh,1
"Tất đi thoáng, cảm giác rất dễ chịu.",tất thoáng cảm_giác rất dễ_chịu,1
ok chất lượng tốt,tốt chất_lượng lượng tốt,1
"Con tôi rất thích vớ loại này, độ dày vừa đủ, êm chân và mát",con tôi rất thích vớ loại độ dày vừa đủ êm_chân mát,1
chất liệu tốt,chất_lượng_liệu tốt,1
vớ ok sẻ mua tiếp,vớ tốt_sẻ mua tiếp,1
"Tất đi ổn, chun co giãn ôm chân, thoải mái. Giặt thì thấy không bai dão hay xù vải. Tính ra chưa đến 30k / đôi với chất lượng này thì rất ok rồi.  Shop uy tín 5*",tất ổn_chun co_giãn ôm chân thoải_mái giặt thấy không_bai dão hay xù vải tính ra chưa_đến không_đôi chất_lượng_lượng rất tốt uy_tín,1
"Tất đẹp?, ôm chân",tất đẹp ôm chân,1
Êm ấm áp,êm ấm_áp,1
"giao hàng nhanh, để xài thử mới biết chất lượng ntn",giao nhanh xài thử mới biết chất_lượng_lượng ntn,1
Tuyệt vời Tuyệt vời Tuyệt vời Tuyệt vời Tuyệt vời Tuyệt vời Tuyệt vời Tuyệt vời,tuyệt_vời tuyệt_vời tuyệt_vời tuyệt_vời tuyệt_vời tuyệt_vời tuyệt_vời tuyệt_vời,1
"Tất mang êm, thoáng. Đã mua lần 2",tất mang êm_thoáng đã mua,1
khá ổn trong tầm giá. chất lượng thiêu ko cao sơ chỉ,khá ổn trong tầm giá chất_lượng_lượng thiêu không_cao_sơ chỉ,1
"rất êm chân, vải thoáng ôm đều chân, còn về lâu dài thì chưa biết, 5sao ủng hộ",rất êm_chân vải thoáng ôm đều chân còn về lâu_dài chưa_biết sao ủng_hộ,1
"tôi muốn hủy nhé, hàng báo đã nhận mà chả biết ném đâu. có khi chưa về",tôi muốn hủy báo đã nhận chả_biết ném đâu có_khi chưa_về,0
"kiểu dáng đẹp, bao bì đóng gói chuyên nghiệp, chất lượng ổn, tương đương các thương hiệu lớn nhưng giá thì lại rẻ hơn nhiều. 5*",kiểu_dáng đẹp bao_bì đóng_gói chuyên_nghiệp chất_lượng_lượng ổn tương_đương thương_hiệu lớn giá lại rẻ hơn nhiều,1
"Tất mỏng, đi trơn chân...",tất mỏng trơn chân,0
hàng chất lượng tốt,chất_lượng_lượng tốt,1
"Khá hài lòng, bao bì Logo đẹp, chuẩn, giá tiền khá phù hợp, sẽ đi và cảm nhận thêm",khá hài_lòng bao_bì logo đẹp chuẩn giá tiền khá phù_hợp sẽ cảm_nhận thêm,1
hàng chất lượng,chất_lượng lượng,1
Giao hàng nhiệt tình,giao nhiệt_tình,1
"đã xài mấy hôm thì thấy ok hơn so với hãng khác từng mua. tất đi thoáng, không hôi chân,  mềm mại, đi cũng rất thoải mái.",đã xài mấy hôm thấy tốt hơn so hãng khác từng mua tất thoáng không_hôi chân mềm_mại cũng rất thoải_mái,1
cũng được nhưng hơi mỏng so với kì vọng...,cũng hơi mỏng so kì_vọng,1
"mẫu mã kiểu dáng đẹp, tất có kháng khuẩn nên cảm giác đi chân không hôi. giao hàng nhanh, ủng hộ hàng uy tín chất lượng.",mẫu_mã kiểu_dáng đẹp tất kháng_khuẩn nên cảm_giác chân không_hôi giao nhanh ủng_hộ uy_tín chất_lượng lượng,1
Number one,number one,1
chất lượng tốt. cảm ơn,chất_lượng lượng tốt cảm_ơn,1
"tất đẹp, đi rất thích, giá cũng không phải quá đắt hay rẻ, chất lượng tốt nên cũng đáng tiền, đi cảm nhận thêm.",tất đẹp rất thích giá cũng không_phải quá đắt hay rẻ chất_lượng_lượng tốt nên cũng đáng tiền cảm_nhận thêm,1
"Tốt, giao nhanh, đóng gói chuẩn",tốt giao nhanh đóng_gói chuẩn,1
hàng như mô tả,như mô_tả,1
Vải dày ok,vải dày tốt,1
đi rất êm chân,rất êm_chân,1
sản phẩm đúng mô tả,đúng mô_tả,1
"Đi vài hôm thấy khá ổn, tất thoáng, đi cả ngày không mùi hôi, giặt cũng không bị xù như tất giá rẻ.  mua cũng đáng tiền. Sẽ mua thêm nữa.",vài hôm thấy khá ổn tất_thoáng cả ngày không_mùi hôi_giặt cũng không_bị_xù như tất_giá rẻ mua cũng đáng tiền sẽ mua thêm nữa,1
Rẻ tốt nha các bạn,rẻ tốt_nha bạn,1
chất lượng tốt. chỉ mong giá mềm thêm tí,chất_lượng lượng tốt chỉ mong giá mềm thêm tí,1
Hàng chất lượng,chất_lượng lượng,1
"Sản phẩm hút mồ hôi tốt, mang ko nóng và ko hôi chân",hút mồ_hôi tốt mang không_nóng không_hôi chân,1
