Review,Rating,Label
"Chất liệu tốt, dày. Đóng gói cẩn thận. Giao hàng nhanh.",5,1
"Giao hàng nhanh, hàng vẫn tốt như cũ",5,1
chất lượng tốt,5,1
chất lượng tốt,5,1
"Tất mặt thoáng mát, thoải mái",5,1
"Giá cả phải chăng, chất lượng sản phẩm hàng Việt Nam chất lượng cao, giao hàng nhanh chóng.",5,1
Chất lượng ok,5,1
Thoáng mát,5,1
Mát. Thấm hút tốt,5,1
"Vải êm, đi thấy ok. Còn có lưu mùi hôi thì chắc xài lâu mới biết",4,1
"mang mát, thoải mái, màu sắcđ đẹp",5,1
"rất tuyệt với ,tất rất đẹp và dày dặn,đúng như hình, giao hàng nhanh,mọi thứ rất ổn. sẽ úng hộ shop",5,1
35k/ đôi mà chất lượng thực sự quá lởm. Cảm giác như đi đôi 15k thôi. 1 lần thôi sẽ ko quay lại shop này.,1,0
giao hàng đúng hẹn,5,1
"Tốt, đúng màu, đẹp",5,1
chưa đi nên chưa rõ chất lượng. shop giao hàng cẩn thận. thấy mọi người comment tốt lại là hàng Việt nên mình mua.,4,1
Sản phẩm  tốt  !,5,1
"Sản phẩm tốt, chất đẹp không bai xù. Được tặng kèm 1 đôi do mua sản phẩm khác nhưng vì chất tốt quá nên đã mua thêm để dùng.",5,1
Hàng dùng ok,5,1
"vớ rất đẹp, xài mấy hôm thấy rất ổn, tất ôm chân, đẹp, co giãn thoải mái, được cái thoáng nên không bị hôi chân như nhiều loại mình từng đi, hàng chất lượng. Để ý thì thấy hàng của việt nam, thương hiệu viêt nam, ủng hộ, sẽ còn mua thêm lần tới.",5,1
"rất ưng ý, mới xài 2 đôi thôi, nhưng đặt thêm 5 đôi loại mang cho giày lười nữa, vì đáng tiền!",5,1
"Zize tất có như Zize giày không, mang vào thấy chật",4,1
"sản phẩm  chất rất đẹp,đáng mua",5,1
Tất rất nóng và bí. Chắc chắn mình sẽ k mua lại sản phẩm này,2,0
Tiki hỗ trợ giao hàng nhanh rất tuyệt vời.,5,1
Mỏng manh nói chung ko ra gì,2,0
Đi biết bao đôi tất giờ mới đc đi tất hịn. mình là chúa ra mồ hôi chân. Dùng cái này cũng cải thiện đc 80%. Ko bị hôi chân haha,5,1
Tốt,5,1
"chất liệu vớ tốt, thấm hút mồ hôi, giặt máy và sấy nhưng không bị co rút",5,1
Good,5,1
Good,5,1
Tốt,5,1
giao hàng nhanh....hàng đc so tầm giá....,5,1
"Chất liệu vải tốt,kiểu dáng đẹp",5,1
Giao hang nhanh,5,1
"Sản phẩm chất lượng khá tốt, phù hợp với giá tiền.",5,1
giao hàng nhanh. sp ok. ko quá dầy.,4,1
"Chất lượng tốt trong tầm giá, đi một thời gian mới biết được. 4* vì combo 5 đôi cùng màu",4,1
Hài lòng,5,1
"Dùng tốt, hơn 10 ngày nhưng vẫn ko có dấu hiệu bị giãn.",4,1
Giao hàng nhanh,5,1
Chất liệu k tốt như mong đợi,4,1
"Tất có chun co giãn ôm chân, đi không bị tụt tất, tất đi êm, tất dày vừa phải nên không bị bí bách khi đi cả ngày. Tiền nào của nấy, mua hàng cảm thấy được tôn trọng!",5,1
Vớ đẹp,5,1
"Hài rất đẹp và dày,đúng như hình mô tả,sẽ ủng hộ shop",5,1
"Tất rẻ mà sử dụng khá ổn, ôm chân nhưng vẫn thoải mái.",5,1
"Tất mềm, dễ đi, mình mua tận 5 lố cho cả nhà dùng",5,1
Sp rất đep và tốt,5,1
Tốt,5,1
"vớ ôm chân, chắc chắn, rất tốt",5,1
"Chất liệu tốt, dày",5,1
Hàng ok lắm ạ. thanks chop,5,1
"Nhận hàng mình khá hài lòng chất lượng, tất cotton vải mềm đi thoải mái dễ chịu. Được cái tất khử mùi tốt, đi cả ngày vẫn không có mùi. tính ra có 25k/ đôi cũng không đắt không rẻ, quan trọng chất lượng tốt là được.",5,1
Tất cũng ok,4,1
"Vớ đẹp, gói hàng cẩn thận nhưng giao hơi lâu",5,1
"Đã nhận hàng và mới dùng 1 lần, cảm giác thoải mái, vải ko dày cũng ko quá mỏng, đi và chạy gần 1 tiếng vẫn ko thấy khó chịu hay nóng.",5,1
chất lượng  Chiêu mộ anh hùng - Trúng quà Samsung ?Chiêu mộ anh hùng - Trúng quà Samsung!    ?Mở ứng dụng tham gia Săn thưởng - sở hữu  Galaxy Note 20 Ultra và Coupon 50K!,5,1
"Sp đẹp, giá tốt, giao hàng siêu tốc.",5,1
Sản phẩm tốt ok cảm ơn Shop nhiều,5,1
"Giao hàng nhanh, chất vải ok, hy vọng mang ko bị mùi và hành chân",5,1
"sản phẩm tốt, giao hàng nhanh",5,1
"Tất okie lắm nha, giao hàng nhanh, đáng tiền",5,1
"Tất okie lắm nha, giao hàng nhanh, đáng tiền",5,1
Ổn với giá thành,5,1
"Chất dày dặn, đi êm chân. Rất đáng tiền nhé",5,1
cảm giác thoải mái,5,1
sp tốt,5,1
Sản phẩm oke,5,1
Dùng tốt,4,1
oki,5,1
mua  2 lần do chất lượng tốt,5,1
"đã nhận được sản phẩm, tiki giao hàng đúng hẹn và hài lòng với phong cách phục vụ của nhân viên, sản phẩm đúng như ảnh và đem lại trải nghiệm khá tốt khi mang, sẽ ủng hộ trong thời gian tới.",5,1
tốt. giao hàng quá nhanh,5,1
"Hàng tốt không bị xù lông, chất liệu tôtts",5,1
San pham tot,5,1
Tot,5,1
"Tất tốt, mang thoải mái",5,1
Vừa ý,5,1
"Hàng đẹp, đeo thoải mái.",5,1
"Sản phẩm uy tín, chất lượng, đã sử dụng 5 đôi",5,1
Hàng nhận đẹp ok.nhưng chưa xài nên không biết có chống được hôi chân không ? Tiki trước đây miễn phí ship nếu mua từ 200k.giờ tính phí ship mắc quá,4,1
Đi khá thoải mái. Đi lâu mới đánh giá chính xác đc độ bền,5,1
dùng tốt trong tầm giá,5,1
chất lượng tốt,5,1
Bình thường ạhkldkdldhljsg,2,0
Nhanh,5,1
Tốt,5,1
Sp tốt so với tầm tiền,5,1
tất hơi mỏng,4,1
ok,5,1
Ok,5,1
Ok,5,1
"Mẫu đẹp, chất tốt. ủng hộ.",5,1
giao hàng nhanh....hàng đc so tầm giá... ủng hộ shop..,5,1
Tất mang vừa chân Nhưng nhanh rách,2,0
"Tất đẹp, thoáng, không dày quá, không mỏng quá, rất vừa vặn. phù hợp với văn phòng đi cả ngày. mình rất hài lòng.",5,1
"chất vải dày dặn, mình mua 15 đôi xài dần rồi.",5,1
"Vớ mang thoải mái, êm",5,1
Hàng ok,5,1
rất hài lòng với giá tiền,5,1
chất lượng ok như hình,5,1
"Giao nhanh, vớ xài rất tốt",5,1
Giá cả hợp lý. đóng gói cẩn thận.,5,1
Giao hàng nhanh,4,1
"Vớ chất, dày dặn",5,1
Dùng tốt,4,1
tốt,5,1
"Logo bao bì đẹp, tất thiết kế logo đơn giản nhưng dễ phối đồ. tất đi khá êm chân, thông thoáng tốt, đi cả ngày ko bị mùi. Giá cả khá rẻ so với chất lượng!",5,1
ok,5,1
ok ổn áp,5,1
J,5,1
ok,5,1
good,5,1
good,5,1
Giao hàng nhanh đúng giờ,4,1
Tốt,5,1
Tất đúng như mô tả. Chưa mang nên không biết chất lượng ra sao,4,1
mua hàng đơn giản. giao hàng nhanh chóng,4,1
"Sản phẩm tốt, bảo hành tốt",5,1
Tất đi rất êm chân thoáng,5,1
Tất dùng rất tốt khử mùi tốt,5,1
Hàng đẹp,5,1
Thoáng chân êm ái dày dặn,5,1
good,5,1
"Giá tốt, giao hàng nhanh, giặt 1 lần thấy bị vón cục",5,1
hơi đắt so với giá 35k/ đôi,4,1
hàil lòng tiền nào của đấy,4,1
Tot,5,1
"Sp tốt,đáng mua ạ",5,1
hàng ok. Giao hàng nhanh.,5,1
"Ok, ủng hộ hàng made in vietnam",5,1
hàng tốt......,5,1
Hàng dùng ổn,5,1
Ok,5,1
Sử dụng được,5,1
Tại sao xếp 5 đôi cùng 1 mầu?,1,0
sản phẩm ok lắm nha shop 1like,5,1
Good,5,1
"cực kì hài lòng, mẫu mã logo đẹp, tất đi ôm gọn chân, vải co giãn, thoáng khí nên đi không bị bí, hay hôi chân. shop uy tín và có tâm, sẽ chọn mua thêm 1 vài sản phẩm khác...",5,1
chất lượng tố,5,1
"so ok, ko qua day cung ko qua mong.",5,1
sản phẩm nên mua,5,1
"hài lòng về chất lượng sản phẩm tốt như mong đợi, thêm thái độ giao hàng nhanh thân thiện, mình rất thích mua trên tiki vì chất lượng luôn được đảm bảo. Sẽ còn ủng hộ thêm",5,1
Nhanh gọn. Chất luọng,5,1
Tất chất lượng bình thường,4,1
tốt,5,1
"tốt, mua được.",5,1
ok,4,1
Hài lòng. Tốt,5,1
"Hàng giao nhanh, đóng gói cẩn thận, sản phẩm đẹp giống trong hình",5,1
Chất lượng  ổn,4,1
Giao hàng nhanh hôm trước hôm sau được luôn,5,1
ok,5,1
"tất chuẩn chính hãng MRM, giá không rẻ nhưng chất lượng rất tốt, đáng tiền, tất đi ôm chân, rất ấm, có lỗ thoáng khí đi không bí, ko bị mùi hôi chân. ủng hộ shop 5 *",5,1
giá tốt,5,1
ok,5,1
chất đẹp,5,1
"vớ đẹp, đi rất thoải mái chân, chất lượng rất ổn, còn tiki giao hàng cũng đúng hẹn, nói chung mình rất hài lòng, đi thêm vài bữa để cảm nhận sản phẩm.",5,1
Mang êm,5,1
"vải sờ chất mềm mại, đi ôm chân, rất thoải mái, vớ không bí, không hôi như nhiều loại sản phẩm rẻ tiền mình từng mua. giao hàng nhanh, rất hài lòng.",5,1
"sản phẩm tốt, giao hàng nhanh.",5,1
"sản phẩm tốt, giao hàng nhanh.",5,1
"sản phẩm tốt, giao hàng nhanh.",5,1
"Tất đi thoáng, cảm giác rất dễ chịu.",5,1
ok chất lượng tốt,5,1
"Con tôi rất thích vớ loại này, độ dày vừa đủ, êm chân và mát",5,1
chất liệu tốt,5,1
vớ ok sẻ mua tiếp,5,1
Rất tốt,5,1
Ok,5,1
sản phẩm tốt,5,1
"Tất đi ổn, chun co giãn ôm chân, thoải mái. Giặt thì thấy không bai dão hay xù vải. Tính ra chưa đến 30k / đôi với chất lượng này thì rất ok rồi.  Shop uy tín 5*",5,1
"Tất đẹp?, ôm chân",5,1
tốt,4,1
Êm ấm áp,5,1
hàng chuẩn,5,1
chất lượng tốt,5,1
"giao hàng nhanh, để xài thử mới biết chất lượng ntn",4,1
Tuyệt vời Tuyệt vời Tuyệt vời Tuyệt vời Tuyệt vời Tuyệt vời Tuyệt vời Tuyệt vời,5,1
"Tất mang êm, thoáng. Đã mua lần 2",5,1
khá ổn trong tầm giá. chất lượng thiêu ko cao sơ chỉ,4,1
ok,4,1
tiện,5,1
"rất êm chân, vải thoáng ôm đều chân, còn về lâu dài thì chưa biết, 5sao ủng hộ",5,1
"tôi muốn hủy nhé, hàng báo đã nhận mà chả biết ném đâu. có khi chưa về",1,0
Ok,5,1
"kiểu dáng đẹp, bao bì đóng gói chuyên nghiệp, chất lượng ổn, tương đương các thương hiệu lớn nhưng giá thì lại rẻ hơn nhiều. 5*",5,1
"Tất mỏng, đi trơn chân...",1,0
"hài lòng với sản phẩm, cho 5*",5,1
hàng chất lượng tốt,5,1
ok,5,1
A,5,1
"Khá hài lòng, bao bì Logo đẹp, chuẩn, giá tiền khá phù hợp, sẽ đi và cảm nhận thêm",5,1
hàng chất lượng,5,1
Giao hàng nhiệt tình,5,1
Tốt,5,1
.,5,1
.,5,1
"đã xài mấy hôm thì thấy ok hơn so với hãng khác từng mua. tất đi thoáng, không hôi chân,  mềm mại, đi cũng rất thoải mái.",5,1
hàng chất lượng,5,1
cũng được nhưng hơi mỏng so với kì vọng...,4,1
"mẫu mã kiểu dáng đẹp, tất có kháng khuẩn nên cảm giác đi chân không hôi. giao hàng nhanh, ủng hộ hàng uy tín chất lượng.",5,1
Number one,5,1
đẹp,5,1
Ok,5,1
chất lượng tốt. cảm ơn,5,1
"tất đẹp, đi rất thích, giá cũng không phải quá đắt hay rẻ, chất lượng tốt nên cũng đáng tiền, đi cảm nhận thêm.",5,1
"Tốt, giao nhanh, đóng gói chuẩn",5,1
hàng như mô tả,5,1
Vải dày ok,5,1
đi rất êm chân,5,1
sản phẩm đúng mô tả,5,1
"Đi vài hôm thấy khá ổn, tất thoáng, đi cả ngày không mùi hôi, giặt cũng không bị xù như tất giá rẻ.  mua cũng đáng tiền. Sẽ mua thêm nữa.",5,1
Rẻ tốt nha các bạn,5,1
Sản phẩm tốt,5,1
Sp ok,5,1
chất lượng tốt. chỉ mong giá mềm thêm tí,5,1
hàng ok,5,1
ok,5,1
Hàng chất lượng,5,1
"Sản phẩm hút mồ hôi tốt, mang ko nóng và ko hôi chân",5,1
tốt,5,1
"Cực kỳ hài lòng, bên trong không có chỉ thừa, giá phù hợp, đáng mua",5,1
"Sản đúng mẫu, giao hàng nhiệt tình, cảm ơn shop.",5,1
Tôi mua cả ghế và bộ tạ nhưng chỉ giao ghế không thấy tạ đâu,4,1
"Đong gói tốt kĩ càng, tổng trọng lg 10kg là tính cả cái thanh, chứ bánh tạ chỉ có 9kg thôi. Nhưng dùng ok với cả gọn, tập mất thời gian xoáy vòng ra vào để lắp thôi. Cái roăng là nhựa nên hi vọng ko bị kẹt do biến dạng. Hài lòng",4,1
Ok,5,1
"giao hàng nhanh, đóng gói siêu kỹ nha. bọc nhiều lớp mà thấy thương. cầm rất chắn. chất lượng thì khỏi bàn rồi. mình chưa dùng nên chưa biết trải nghiệm thực tế ntn",5,1
"Mẫu mã đẹp, chất lượng tốt với giá tiền. Hạn chế 2 chỗ là ốc giữ tạ còn mất nhiều thời gian mở, thanh kết nối 2 tạ đơn có phần nhựa dễ rách, bong",4,1
"Giao hàng nhanh. Hàng xài tốt. Nhưng không biết sao nhận hàng thấy trên mấy viên tạ dính nhiều dầu, chà rửa hơi mệt nên ko cho 5s",4,1
"Tôi đã mua tủ lạnh LG 4tr7, cây lau nhà 600k trên tiki, nhưng đây là lần đầu tiên tôi có cảm giác như bị *** như này, shop làm ăn *** cò vậy? Phải chăng là sp cuối nên đánh tráo tạ cũ đã qua sử dụng, bất chấp bị report? Gói hàng có 3 pack là được bọc nilong còn lại một pack đã bị bóc, tạ bỏ bên ngoài cũ và sứt mẻ, tay cầm cũng ko đc bọc lại và cũ. Tiki nên khoá shop này lại tránh để ae sau mua phải hàng như này.",1,0
mới đặt hàng 2 ngày trc là có liền. giao hàng nhanh đóng gói kỹ mới nhận chưa sử dụng ko b sử dụng về dài như thế nào nhưng đối với tạ tập tại nhà cộng giá thành như vầy là khá ổn.  Nhưng sao tạ đếm có 9kg mình đang phân vân ko b tính thêm tay cầm đi kèm là 10kg ko ?.  Nchung hài lòng về sản phẩm vs giá thành như vầy ??????,5,1
"An toàn, tiện lợi, chắc chắn, dễ dàng tập luyện, hình thức đẹp, chất lượng tốt giao hàng nhanh, đóng gói cẩn thận.",5,1
"Tạ cầm chắc tay, giao đầy đủ nhưng ốc vặn có lẽ sẽ bị mòn nhanh. Giao hàng nhanh, đóng gói kĩ nè",5,1
Sản phẩm không phải là thuốc và không có tác dụng thay thế thuốc chữa bệnh,5,1
Giao ko đúng hàng ??!!!!!!!,1,0
"Khi tôi đặt hàng, giá sản phẩm là 289k và freeship, nhưng khi nhận hàng từ tiki, tổng tiền thanh toán lại là 333k. Đây là lần đầu tôi gặp trường hợp như vậy",2,0
"Trong mô tả ghi bộ tạ gồm 4 bánh 1kg và 4 bánh 1.25kg, khi mở ra mình nhận được 3 bánh 3 bánh 1kg và 5 bánh 1.25kg. Sai sót trong mua bán là chuyện thường tình nên mình để 4 sao để cửa hàng chú ý hơn.",4,1
"Packaging vô cùng tốt, shipping an toàn và nhanh chóng, model và vật liệu không thể chê vào đâu",5,1
Sản phẩm ok. Mong sẽ có một body đẹp hơn hẳn so sánh thì so sánh làm cái,5,1
"Sản phẩm giống hình, nhìn chắc tay, đẹp, giao hàng nhanh, nhắn tin shop trả lời nhiệt tình tư vấn dễ thương... 😘  độ bền thì dùng lâu mới biết... tạ này chắc cũng phải nhẹ tay chứ ko thả như tạ Ganh đc",5,1
quá đẹp sản phẩm tốt giao hàng nhanh chóng sản phẩm chất lượng,5,1
"Giao hàng nhanh chóng, được free 10kg tạ thì cũng rất là cảm ơn Tiki.  Hàng xài ngon, ổn định, hy vọng là chuột bự lên nhanh chóng.",5,1
hàng đầy đủ và khá tốt để tập tại nhà,5,1
Sản phẩm tốt,5,1
Khá ổn. Do làm nhựa nên mùi nhựa hơi nặng. Chắc dùng dần sẽ bớt mùi.,5,1
"tôi ko mún nói nhiều chỉ hai chử thôi : rất tốt ""))",5,1
Hàng rất tốt đẹp nặng đúng ký,5,1
Ban đầu tưởng mỗi bên 10kg nên order thêm vì mình đã có 2 cục tạ 5kg rồi. Nên mua về ko hữu dụng cho mình.,4,1
Tổng cộng đc 14kg….abcdfgh,4,1
"phù hợp cho người mới tập như mình , sản phẩm đúng như ảnh minh hoạ. mình từng có ý định mua trọng lượng lớn hơn , nhưng đây là quyết định đúng. hãy bắt đầu từ con số 0 . chúc sức khỏe .",5,1
"Đã nhận hàng.  Đóng gói tốt, hàng đẹp, đầy đủ phụ kiện, thanh tạ khi ráp lại thẳng hàng.  Nhưng thanh tạ cầm rất nhẹ. không biết bên trong có phải là thép như mô tả không. Tạm thời đang thấy là nhựa đặc. Không dám ráp tạ nặng hơn 10Kg",4,1
Tạ giống mô tả,5,1
Ok được được....như ảnh và quảng cáo,4,1
Cầm chắc tay...,5,1
"Chất lượng phù hợp với giá tiền, đủ phụ ki hi vọng sản phẩm sử dụng được bền...",5,1
200k bộ 20kg quá rẻ! Cảm ơn Shop,5,1
"sản phẩm tốt, nhựa cứng cáp, dễ dàng tháo lắp ra để tập được nhiều kiểu. Sẽ mua sản phẩm lần nữa",5,1
"Tạ nặng đủ ký, rất chắc chắn, giá rẻ",5,1
Hàng tốt rất tốt và đẹp giao hàng nhanh sẽ ủng hộ shop trong lần sau ạ,5,1
"Sản phẩm tốt, chất lượng, uy tín, giao hàng nhanh chóng, chính xác, tiện lợi, phục vụ chu đáo, nhiệt tình",5,1
"Cầm chắc tay, hàng đẹp. Tay cầm hơi nhỏ",5,1
Khá ổn :))),4,1
"Đẹp, rất đáng mua",5,1
Dùng ổn nhưng nối thành tạ thanh thì nó hơi ngắn,4,1
Phù hợp với giá tiền,5,1
Thiếu phụ kiện cái vòng màu đỏ thiếu 3 cái,2,0
Chất vl,5,1
"Shop ship tương đối  nhanh, sản phẩm chất lượng, đóng gói tốt, giá hợp lý. Sẽ ủng hộ tiep sau nay.",5,1
Sản phẩm rất tốt,5,1
Độ hoàn chỉnh sản phẩm tốt. Tuy nhiên do tạ đòn tay là nhựa PVC nên khi lắp tạ miếng gang hay sắt thì sẽ mau mòn răng của đòn tay. Khuyến cáo ae nên kết hợp với tạ cao su,5,1
"Giao hàng nhanh, sản phẩm chất lượng, như mới, sẽ còn quay lại ủng hộ",5,1
"Đóng gói rất cẩn thận, các dụng cụ đều không bị lỗi gì.",5,1
"Đóng gói kỹ, giao hàng nhanh. Sản phẩm mới nguyên, dễ sử dụng, tương đối chắc chắn về hình thức lẫn chất lượng.",5,1
5*,5,1
Sản phẩm tốt. Giống hình và thông tin đã đưa,5,1
"Liên hệ tiki rất khó, ngắt quãng nên tôi comment vào đây. Tôi có đơn Tiki đồng ý thu hồi hẹn 20/8 rồi để đó bặt vô âm tính. Trong khi shipper vẫn gia hàng tôi mua đèu đều ở đó.",1,0
"Sản phẩm chắc chắn, giao hàng nhanh chóng…",5,1
"Mới nhận hàng xong. Sản phẩm đẹp, chắc chắn, giống như hình đăng. Giao hàng nhanh và shipper cực dễ thương khi phụ mình đem vô thang máy chung cư vì hàng nặng.",5,1
Giao hàng nhanh.   Đóng gói cẩn thận   Hàng đúng QC .   Hài lòng và sẽ còn ủng hộ shop,5,1
"sản phẩm rất đẹp , chắc chắn . Còn phần tạ thì rất đầm tay khi tập nha.10sao",5,1
Rất ổn ạ,5,1
Ok nha nên mua,5,1
Đẹp,5,1
tuyệt vời. các thanh nối và tay cầm rất chắc chắn mặc dù bằng nhựa,5,1
Ok,5,1
"giao hàng nhanh, sản phẩm đẹp, cầm chắt tay",5,1
"Đóng gói kỹ, nhưng sản phẩm có vài chỗ bị lỗi, tổng quan vẫn tốt.",4,1
"sản phẩm tốt, chất lượng, sẽ ủng hộ shop nếu có nhu cầu",5,1
"Sản phẩm đúng mô tả, dùng rất ổn",5,1
"Đã nhận được hàng, sản phẩm đẹp, đóng gói chắc chắn, giai nhanh.",5,1
"Tốt, tiện lợi, giá hợp lý",5,1
"Sản phẩm tốt,giao hàng nhanh, sử dụng tập ở nhà rất tiện lợi.!",5,1
"Thiết kế đẹp, chất lượng dùng thử mới biết nhưng cảm thấy có vẻ bền. Giá vừa phải",5,1
Good,5,1
"Tạ đẹp và đúng hình ,đúng chất lượng Lần sau sẽ ủng hộ shop♥️♥️♥️",5,1
"hàng tốt,đóng gói cẩn thận",5,1
"tạ đủ kg, có cái sticker dán ngoài hộp vui vui, tập luyện ổn.",5,1
"Hàng giao đúng hạn, đầy đủ, lắp chắc, không gặp vấn đề nhiều",5,1
"Shop bán hàng kém chất lượng, mua về dùng vài ngày là hư. Nhắn tin thì không phản hồi.",1,0
Hàng đẹp tiện dung và thiết kế rất hay,4,1
Sản phẩm rất đẹp. Đóng gói cẩn thận,5,1
"cho đánh giá 4 sao thôi vì mình không dùng mà em trai mình dùng, tạ quảng cáo là 10kg mà em mình cân lên được có 9,4kg, chắc phải cân cả vỏ thùng may ra mới được 10kg, còn chất lượng thì chưa biết thế nào vì chưa dùng?",4,1
"Oke hàng như hình, giao nhanh, thân thiện. Khá tiện lợi, không biết vỏ nhựa có dùng được lâu không nhưng cứ cho 5* vậy.",5,1
"Hang chất lượng và đúng như quảng cáo, giao hành nhanh, giá cả rất hợp lý",5,1
Mik rất vui Vì đã đã chọn đúng sản phẫm mik cần,5,1
"Tạ ok lắm, có dịp sẽ ủng hộ shop tiếp",5,1
Từ đóng gói đến chất lượng sp tốt,5,1
Hài Lòng,5,1
Hàng tốt rất hài lòng,5,1
Khá ok,5,1
"rất tốt trong tầm giá ,xin hỏi shop có bán thêm bánh tạ nặng hơn ko ạ",5,1
hài lòng với sản phẩm,5,1
xấu củ dơ thiếu đồ ko xaid dk,1,0
"cứng cáp, giao hàng nhanh, sản phẩm chất lượng, nặng, ship cao😭",5,1
Giống trong ảnh. Cũng ok. Nhưng mùi nhựa hơi nồng,5,1
nếu cân tất cả lại thì chắc dc 10kg nhưng xài thấy ok,4,1
"Sản phẩm nhìn khá ổn, quà tặng dây kháng lực monh manh dễ đứt.",4,1
gói hàng đẹp....giao nhanh .đúng sản phẩm.⭐⭐⭐⭐⭐,5,1
sản phẩm tốt. Phù hợp tập tay. Đóng gói chắc chắn.,5,1
Quá tốt quá hay,5,1
hàng nhìn đep. Tiện lợi,5,1
muoi diem,5,1
Hàng đẹp chuẩn hình minh họa.,5,1
"Sản phẩm tốt, hàng đóng gói kỹ",5,1
xài oke,5,1
